category,subcategory,title,content,kb_link,last_modified
Agent Operations,Sprinklr,What to do: Cases reverting to Unassigned Status,"Sometimes a ticket may switch to an ""Unsassigned"" Status, even after an agent has handled it. Like the example below: ​ What is the reason for this? After an agent handles the case, they have to complete the necessary ACW. If they do not, the case will get unassigned until the case handling has been finalized (no matter which status was inserted, even awaiting response). This happens because any agent can handle the case later, it doesn't stay with one person only. The only exception is if we are pending on the customer, and they reply in less than 8 hours. If this is the case, it system will automatically re-assign the case to the same agent as before.",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/tools-portals/sprinklr/sprinklr,Tue Nov 18 03:55:55 UTC 2025
Claims,Logistic Claim,Logistic Claims,"Emma Learning Hub Training: here (do not use until further notice) Release Note: this article replaces ""Claims: Logistic claims"". Added guide on how to register a logistic claim . Added ​Logistic Claim: How to verify if the order was shipped incorrectly TABLE OF CONTENTS Logistic Claim: What ​ Logistic Claim: How to register How to: Submit a Logistic Claim in Sprinklr Claim Reasons Lost In Transit Incorrect Shipment Damages Carrier Misbehaviour Documentation Needed Logistic Claim: What Logistic claims are complaints of the customers related to inconveniences experienced during the delivery/return of the products that they’ve ordered. Claims can lead to a cancellation, return, replacement, or even monetary compensation (which is a possible refund of a certain amount of the cost paid by the Customer, based on the country-specific Compensation matrix). ​ ​ Claim Reasons Customers may reach us for multiple reasons, whether it be a carrier misbehavior, or due to an item never being received (as a lost item by the carrier, for example). IMPORTANT: a delay in delivery should not be logged as a logistic Claim, but instead, under WIMO category. First Decision to take: What is the reason of the customer claim? You can find below the reasons you may face when handling a logistic claim and an explanation of when to use each of them. In the dropdown you'll be able to under ​ Lost In Transit When the customer may get a notification of receiving the product, but they contact us informing that they didn't received (a whole parcel is missing (not part of a product - that would be a product claim ). There is a miscommunication between both parties and we need to take the required actions depending on the situation. ​ 1. Types of Lost In Transit cases: Lost or stolen: A tracking number is available in the OMS and it works on the carrier website. However, the tracking update states ""delivered"" but the customer didn't received the product or one of the items they should've ( OBS : here we consider items under the same fulfillment and tracking number, meaning: items that should've arrived altogether ). ​ Lost in transit: In that case, a tracking number is available in the OMS and it works on the carrier website. However, the latest update on the carrier website was over 10 days ago (e.g. the website says that the parcel is in transit). ​ No tracking possible : A tracking number is available in the OMS and it works on the carrier. However, there has never been any update on the carrier website (e.g. the website says that the order information has been transmitted and status is like this for >10 days ago). ​ Market exception: For CH orders please consider a timeline of 20 days instead of 10 to accommodate special operational delays related to customs & warehouse expeditions in the country. No supplement should be created for Lost in Transit and No tracking Possible before the 20 days. ​ 2. Actions to perform: Identify if the parcel can be considered lost: check the parcel status (and the time that it's stuck on it) in the carrier tracking portal or Order Status Page. Pay attention if there's any sort of observation related to the order, e.g: incorrect address, or an attempt of delivery that failed and they will try to reship the product. If so, this shouldn't be considered a claim. Just clarify with the customer what happened and the next steps. ​ Check the proof of shipment/delivery if the customer didn't received the item and the tracking says ""delivered"": legally, carriers must deliver the product only for the buyer or authorized people to receive it, with a signature available upon delivery time. This document should be available to our Customer service teams. Where to find this document can vary depending on the market partner's website. If no proof of shipment is available, we must consider the claim of the customer valid and assume the shipment was incorrectly delivered. ​ If the proof of shipment is available but it has no signature/signature is not clear, send what we have to the customer and check if they recognize it. If they do, it's not a logistic claim. If they don't, also assume that the shipment was incorrectly delivered. ​ Actions: On incorrect deliveries, we require a legally binding declaration signed by the customer (RVE Template). You also must attach the proof of shipment - a screenshot of the delivery status as per the reference by the end of this article (Parcel Perform screenshot). If you need to manually add the documentation to the ticket and don't know how: review the article Sprinklr: How to handle tickets. ​ ​ Please contact the carrier if the parcel is stuck in the same status for >10 days. Ask about the order using this link . If carrier replies with a delivery date, inform costumer accordingly (once the order arrives, customer may be eligible for compensation - check the rules). If it doesn't reply or status don't change in 2 business days, please follow the same process of the items that have the status ""delivered"" but never arrived. ​ If the item is considered lost: please check with the customer if they would like us to re-ship the item by creating a supplement (check here ).  The other option would be to cancel and to do a full refund. For this, please refer to the following table: Fluent – Fulfillment Status Order Status Action and team ON FLUENT COMMERCE: Ready for dispatch/Dispatched/ Arrived at sorting center/Out for delivery/Requested for delivery option/Lost order/Delivery delay/Picked up/AT_DEPOT BUT THE CARRIER TRACKING WEBSITE SHOWS: Lost or Missing ​ Shipped Open a Jira here Use the Refund Topic ""Cancel and Refund"" with the reason for refund ""Cancellation"" Make sure to attach the proof of order being Lost (screenshot of carrier tracking or carrier confirmation). ​ ON FLUENT COMMERCE: Complete Complete with Proof of Delivery (screenshot of Proof of Delivery from carrier) Open a Jira here ​ ​ Use the Refund Topic ""Refund Initiation"" with the reason for refund ""Cancellation"" Make sure to attach proof of Delivery and clarify why it's not valid or if not available at all, validating the claim from customer. IMPORTANT: it’s mandatory to attach any proof that the order was Delivered and claimed Lost by customer, or proof of it being Lost by the carrier on their page, otherwise OM and Refund team will reject your request. ​ Incorrect Shipment When an incorrect SKU is delivered to the customer. How to verify if order was shipped incorrectly Request label pictures from the customer Compare the SKU on the label with the one listed in Fluent: ​ According to your findings, follow one of the scenários below: A. Same SKU - Correct shipment If it’s the same SKU → Correct product shipped, the order was shipped correctly . Do not supplement, as the same item will likely be sent again. If the customer does not want to keep the item → process a return with refund. B. Different SKU - Incorrect shipment If it’s a different SKU → the wrong product was shipped, order was shipped incorrectly .​ ​ For minor issues (e.g., color variation), offer compensation, for the customer to keep the item. If customer accepts, request the refund via Jira to ARD2C 1 . ​ If customer does not accept the compensation , or it is not applicable: Check stock for the correct item (same SKU) 2 . If there is stock , supplement the correct product if customer agrees If there is no stock Check the replacement matrix for a similar SKU 3 , and check it's stock: If there is a similar SKU and stock is available → offer the customer the possibility of supplement similar Sku. If they accept it, process the supplement and create a return without refund for the original item; If there is a similar SKU , but stock is not available → return with refund ​ If customer does not wish to receive a supplement: Process a return with refund, if they are still within the trial period 4 Note : Anything that falls outside this flow, please raise to your supervisor (note: make sure you followed every available step before raising the case) Need help with any of the steps? Check the dropdowns below (third-pane view, only): How to: issue Logistic Claims Compensation via JIRA 1 How to: Check Stock Availability 2 Ref: Replacement matrix 3 How to: check if order is within trial period 4 ​ ​ ​2. Actions to perform If something was delivered wrong, we need to make sure the wrong item is returned to our warehouse and the proper ordered one is reshipped as a supplement order (zero cost for the customer). ​ Damages Logistic Claims related to the quality of the package during the delivery time. ​ 1. Types of Damages: Product & Box damaged/Product damaged during assembly : when the box/package is damaged and the product inside as well, it means that the damage happened during the delivery and the item will need to be replaced by a new product. If the product was damaged during the assembly, the process is the same. ​ Package damaged, product intact : if only the box is damaged, we guarantee the quality of the product and it should not be replaced and customer should not be compensated either . For exceptions, please ensure you follow your market-related guidelines. ​ OBS: If the box is intact but the product inside is damaged, we consider it a quality issue, which falls under product claims. ​ 2. Actions to perform: Please refer to the article [Online: D2C: EU] Product & Logistic Claims : Damage & Incomplete item(s) . Carrier Misbehaviour When the carrier inappropriately or fails to comply with expected standards during the delivery or handling of the goods. 1. Types of Carrier Misbehaviour cases: Additional service not provided : The extra service was not provided by the carrier (dis-/assembly service, old mattress removal, room of choice delivery, did not show up to pickup/return appointment). Carrier unprofessional behavior: The customer complains about rude or unprofessional behavior from the carrier which does not cause any monetary damage (e.g. confrontations or inappropriate interactions with customer). Delivered to wrong address/wrong person but customer received the product : The product was initially delivered to a different person or different address but the customer received the product in the end. Property damaged - financial cost : The carrier damages the customer's property during the delivery or collection of products, resulting in monetary damage. Property damaged - no cost : The carrier damaged the customer's property during the delivery or collection of products, but the customer does not provide an invoice and does not suffer from monetary damage. Returned without delivery attempt : Customer claims the carrier did not ring the bell or leave any note. No re-delivery attempt. The carrier did not ring the bell or leave any note or there's no re-delivery attempt. 2. Actions to perform: Is the costumer claiming a cost/asking for a reattempt? If the answer is yes : For property damage : the customer will need to sign an RVE (Legal Binding declaration) template, to provide a picture of the damage, a picture of the repair and an invoice for the repair costs. Also, when filling the claim in the Guided Workshow in Sprinklr, you'll also be asked to input a screenshot from the carrier website of current status. As soon as it's done, you'll need to open a ticket on the ARD2C Jira. If the repair <100€ (invoice), supervisor can approve, for repair >100€, please Emma internals to get approval before promissing payment to the customer. Please leave notes of the case. For additional service not provided : If the service was expected to be provided (e.g., requested by the customer or advertised by Emma), please contact the carrier to ensure its fulfillment. If that happens, we don't offer compensation. But, if the customer contact us explaining that the carrier did not assemble the product but he did, please offer a maximum value of 25 euros in compensation by filling a ticket to the ARD2C team. Please leave a note on the case mentioning which service was not provided, when, why it wasn't provided, if the customer was contacted by the carrier and how the case was solved. For returned without delivery attempt : please review the Tracking information on Order Status Page or the Tracking website of the carrier. If the carrier failed to provide/provided inconsistent information for the customer and the item was Returned to Sender, proceed with supplementing the order. ​ If the answer is no : it generally means that the customer is upset by the carrier standards but there's no damage in the product. In that case, we don't offer compensation, but you should still create a logistic claim for incident report and leave notes on Sprinklr (what happened, when, where, specify in which way did the carrier behave unprofessionally) Please apologize the customer for the unmet expectations and thank them for bringing the topic to our attention. Inform them that we will leave the records of the claims in our system and that our logistic team will take this up and improve the services. ​ ​ Logistic Claim: How to register Logistic claims must be logged using the Guided Worfklow in Sprinklr. ​ ​ ​ How to: Submit a Logistic Claim in Sprinklr ​ Documents and templates Legally Binding Declaration (RVE Template): ​ What is it? It is a signed statement from the customer that is used to officially confirm events such as: non-receipt of products, damaged or tampered packages or unauthorized charges or deliveries. Once signed, the person becomes responsible for the accuracy of the information and could face legal consequences if it's false. When to send the RVE to customer? When the customer claims the product has not been delivered and if the tracking doesn't clearly state that the parcel was not returned to the sender. How to send it? RVE forms can only be sent and received via email, and will need to be sent to and received from the same email address that is connected to the order in question on OMS. Each market will have a document in your customers' language to attach to the Logistic Claim, please find the RVE forms: here . Notes: BR market can be covered by the PT Template AU market can be covered by the EN Template MX; CL and CO markets can be covered by the spanish Template ​ ​ ​ Proof of Shipment What is it? A proof of shipment is a screenshot (of ""Track Order"" on ParcelPerform or the status part on the Carriers Tracking Page) that confirms the delivery. When to use it? If the customer signs a legally binding declaration, you should always attach the Proof of Delivery as well when filling the Logistic Claim. It will look like this: Market exception : For FR, a picture of the customer's ID is also required. However, in these cases, the unnecessary details on the ID card should be redacted/covered, since we only need the name and signature to open the carrier investigation. ​ pdf Claim Management - Logistic (final).pdf 0.22 MB png M6.3 Logistic Claims 2.0.png 0.09 MB",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/logistic-claims,Tue Nov 18 14:09:59 UTC 2025
Claims,Product Claim,Ref: Replacement matrix,Select your region and open the file Global BENE DACH UK & IE PT ES IT pdf [Global] Replacement SKU matrix - OOS & phased out.pdf 0.08 MB pdf [BENE Market] Replacement SKU matrix - OOS & phased out.pdf 0.03 MB pdf [DACH Market] Replacement SKU matrix - OOS & phased out.pdf 0.32 MB pdf IE and UK market.pdf 0.09 MB pdf [PT Market] Replacement SKU matrix - OOS & phased out.pdf 0.05 MB pdf [ES Market] Replacement SKU matrix - OOS & phased out.pdf 0.16 MB pdf IT SKU Replacement OOS SKU.pdf 0.04 MB,https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Mon Nov 10 09:53:48 UTC 2025
Claims,Product Claim,[Content Block] - Product Quality Guidebook - Accessories,Validation guide Categories available Product Foam Core Fiber Filling Fabric Cover Accessories - Claim Categories per Product Inflation and Recovery Issues Dimension Deviation Smell Plastic Foil Open Dirty or Discolorization (change of colour) Broken or Holes Clumping Broken or Holes Dirty or Discolorization (colour change) Threads coming out Zipper breaking ​,https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Tue Apr 15 09:10:01 UTC 2025
Claims,Product Claim,[Content Block] - Product Quality Guidebook - Beds,"Validation guide We have spare parts available for beds If a customer reports a problem with a bed, always check if we can send a spare part instead of the full item or box. See the instructions on the page ' Product Claims: Spare Parts '. In Belgium, The Netherlands, Germany, Austria, Switzerland and France, se have spare parts for: Box Bed v5 Storage bed Slatted frame General Broken / Damaged Dirty / Rusty / Moldy Missing Part Part doesn't fit Noise Fabric appearance What product claim types exist for which parts of orders for beds? All of these are listed in the tabs on this page. Scoping questions TBD",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Thu Oct 23 23:59:36 UTC 2025
Claims,Product Claim,[Content Block] - Product Quality Validation Guidebook - Mattresses,"Validation guide Best practices for mattress claims If a customer contacts us about a mattress not inflating or its smell, please: Inform them that mattresses can take up to 72 hours to fully inflate . Advise that the smell can take up to 72 hours to dissipate. These timelines are based on quality tests. If the specified time has not yet passed, ask the customer to wait. We do not validate claims before this period to avoid unnecessary replacements. If the issue persists after 72 hours, we will support the customer further. General View Product Foam Core Fabric Cover Springs Air Grid Layer Inflation & Recovery issues Claim validation guide Dimension Deviation Claim validation guide Smell Plastic Foil Open Sagging/Dipping Broken / Holes Claim validation guide Dirty / Color issue / Discolouration Glue / Gluing issue Threads coming out Dirty Holes Zipper / Handles breaking Dirty / Rusty Springs visible on top layer Dirty / Color issue / Discolouration Scoping questions On what type of bed are you using the mattress? How old is the bed? Oftentimes, what seems to be an issue with the mattress, is actually caused by an issue with the bed. To address the root cause, we need to be sure the product issue is not caused by a bad state of the bed. Please put the mattress on a flat floor. This is needed to ensure we can a) spot any deviations, and b) be sure the issue is not caused by the bed. Please take off the cover of the mattress. This will help us spot the product issue more clearly. New Tab Content New Tab Content",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Tue Apr 15 09:13:39 UTC 2025
Claims,Product Claim,Customer Instructions for Product Claims,"These are the topics available: Microfibre pillows, duvets, bedding & mattress protectors Foam pillow Beds & slatted frames Issues with inflation or recovery of the mattress Dimension deviation of length, width or height - Mattress Broken parts, holes or dirty spots - Mattress Other defects - Mattress Please use the template according to your market: English German Italian French Portuguese Spanish ​ pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Foam pillow.pdf 0.15 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.11 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattress.pdf 0.11 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.19 MB pdf Other defects - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattress.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.19 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Foam pillow.pdf 0.15 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB ​",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Mon Aug 18 12:30:27 UTC 2025
Claims,Product Claim,How to: Use compensation Matrix (Product Claim),,https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Thu Nov 13 16:50:30 UTC 2025
Claims,Product Claim,Product Claims: (How to Determine the) Outcomes of the Product Claim,"Release Note: 11/11/2025 - replaced link to replacement matrix folder with tab with files per market (decision point 4) Table of Contents 1. Possible Claim outcomes 2. Deciding the Outcome 3. How to: Process the Outcome of the Claim 1. Possible Claim outcomes There can be five outcomes to any product claim Claim Rejected by Agent : The product claim was not valid. Compensation Request Created : The customer accepted a monetary compensation for the quality issue. Supplement Created : Only possible in the case of a spare part. Refund Request Created : This option should never be selected for Product Claims Return and Supplement Request Created : The customer will receive a replacement item. This can also be spare parts. Replaced with the same SKU Replaced with a comparable SKU Return and Refund Request Create : The customer will return the faulty item and will receive a full refund. 2. Deciding the Outcome of the Claim To know which one you should do, it is important to follow the below steps in the correct order. Decision point 1: Is the product's usage affected? Depending on the description and the images you received, use common sense to determine if the product is still usable. Offer the customer two options: Option 1: Compensation Offer the customer a compensation, according to the compensation matrix . Explain to the customer that ""The raised issue does not affect the usage of the product."" Because the product didn't match the customer's expectations, you can offer them a compensation. Outcome of the claim = ""Compensation request created"" ​ Option 2: Offer a replacement Especially if you notice the product's usage will likely be affected, offer the customer a free replacement for their faulty product. Initiate a return to have the customer send us back the faulty item. Outcome of the claim = ""Return and supplement created"" If the product is no longer usable Proceed to the 'Decision point 2'. Decision point 2: Can this issue be resolved by sending a spare part? You must first decide if this issue can be resolved by sending a spare part. For instance, a broken bed stand can be replaced by a new stand - no need to send an entire bed. ​ ​Not sure if a spare part is available? Check the Product Quality Guidebook We currently have spare parts available for mattress covers (depending on your market). In Belgium, Netherlands, Germany, Austria, Switzerland and France, we also have spare parts for Box Bed v5 (BBv5), Storage Bed and the Slatted Frame bed. Option 1: Spare part avalailable Proceed with the process for sending a spare part . ​ Outcome of the claim = ""Supplement request created"" ​ Option 2: No spare part available If there is no option to send a spare part, proceed with checking if a replacement is available. Decision point 3: Is the same SKU available in stock for sending a replacement? You must be sure that we have a replacement SKU available in stock. That way, the customer will be sure to receive a replacement. Option 1: Same SKU is available for replacement Replace the faulty item with a new one, by Creating a supplement, AND Initiating a return of the faulty item. Need a reminder how to create supplements? Review the information here . ​ Outcome of the claim = ""Return and supplement created"" ​ Option 2: No supplement is available Go to the next decision step 'Is a comparable SKU available'? For detailed instructions how to check for stock, review the below content. Decision point 4: Is a comparable SKU available in stock? - Under Discussion Check if you can replace the faulty item with a comparable item, using the file corresponding to your market below. Option 1: Comparable SKU is available for replacement Replace the faulty item with a new one, by creating a supplement using a comparable SKU. Initiate a return for the customer to send us back the faulty item. Need a reminder how to create supplements? Review the information here. ​ Outcome of the claim = ""Return and supplement request created"" ​ Option 2: No comparable SKU supplement is available Proceed with a full refund for the customer. Outcome of the claim = 'Return and refund request created' 3. How to: Process the outcome of the claim Claim rejected by agent Compensation request created Supplement Created (Spare part) Return and Supplement Request Created Full refund Log the outcome of the case in Sprinklr as 'Claim rejected by agent'. Ensure all claim information is logged on the case. Close the case. That's it. Give the customer a compensation, according to the compensation matrix . Submit the compensation via the AR D2C Jira Portal . Use the following fields: 'Refund topic': Refund initiation 'Reason for refund': Compensation - Product claim Need a refresher about compensation requests, visit this page . See instructions on the page ' Product Claims: Spare Parts ' blabla New Tab Content",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Tue Nov 18 13:24:33 UTC 2025
Claims,Product Claim,Product Claims: Customer Instructions for Product Claims,"Introduction Currently one of the challenges you as an agent might face, is how to explain the customer what and how to take the proper product pictures for a valid Product Claim. ​ Here you can find all the templates to send to the customer on how to take properly the pictures for their specific product claim topic. To make it simple we have it available in several languages, therefore the breakdown will be per language per topic. ​ Note: We have also added example of the label pictures, these can't be shared with the customer but will help you explain to the customer how they llok like ​ Please note: It's mandatory to use this templates when requesting pictures to the customers ​ Release Note: 03/11/2025 - Added tab & file for The Netherlands | 05/11/2025 - Added additional files for The Netherlands ​ Label picture is not available In case the label is not available is the product make sure to follow the steps bellow: ​ Step 1: Customer Cannot Provide Label Photo If the customer states the product label is missing or unattached and cannot provide a photo, proceed to the next step. Step 2: Send Legal Form Share this legal form: ​ docx Dutch - Ontbrekend productlabel.docx 0.13 MB docx English - Missing product label.docx 0.13 MB docx French - Étiquette du produit manquante.docx 0.13 MB docx German - Fehlendes Produktetikett.docx 0.13 MB docx Italian - Etichetta del prodotto mancante.docx 0.13 MB docx Portuguese - Etiqueta de produto em falta.docx 0.13 MB docx Spanish - Etiqueta de producto faltante.docx 0.13 MB Instruct the customer to fill out and return the completed form. Explain that this form replaces the product label photo in the claims process. Step 3: Customer Refuses to Sign Legal Form If the customer refuses to sign or return the legal form: Clearly explain that the form is required to process their claim internally. Emphasize that this is a standard requirement when the product label is missing. Step 4: Customer Remains Adamant & Refuses to Sign the Legal Form If the customer continues to refuse after your explanation: Accept the claim without the product label photo or the signed legal form. ​ Only proceed in this way if: The product label is genuinely unavailable, and The customer explicitly refuses to sign the form after being informed of its necessity. Step 5: Document the Interaction Record in the claim notes: That the product label was unavailable. That the legal form was offered and refused. That the claim is being processed without the label photo or signed form due to customer insistence. Step 6: Proceed with Claim Processing Continue with the standard claims process, ensuring all other required information is collected and documented. ​ These are the topics available: ​ Microfibre pillows, duvets, bedding & mattress protectors Foam pillow Beds & slatted frames Issues with inflation or recovery of the mattress Dimension deviation of length, width or height - Mattress Broken parts, holes or dirty spots - Mattress Other defects - Mattress ​ Please use the template according to your market: English German Italian French Portuguese Spanish The Netherlands ​ pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Foam pillow.pdf 0.15 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.11 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattress.pdf 0.11 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.19 MB pdf Other defects - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Broken parts, holes or dirty spots - Mattress.pdf 0.12 MB pdf Foam pillow.pdf 0.15 MB pdf Other defects - Mattress.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Dimension deviation of length, width or height - Mattress.pdf 0.12 MB pdf Beds & slatted frames.pdf 0.19 MB pdf Beds & slatted frames.pdf 0.18 MB pdf Broken parts, holes or dirty spots - Mattresses.pdf 0.12 MB pdf Microfibre pillows, duvets, bedding & mattress protectors.pdf 0.13 MB pdf Foam pillow.pdf 0.15 MB pdf Dimension deviation of length, width or height - Mattresses.pdf 0.12 MB pdf Other defects - Mattresses.pdf 0.12 MB pdf Issues with inflation or recovery of the mattress.pdf 0.12 MB pdf Product Guidebook Dutch.pdf 0.45 MB pdf Foam Pillow 1.pdf 0.15 MB pdf Beds and Slatted Frames 1.pdf 0.2 MB pdf Deviation in Length Width or Height 1.pdf 0.14 MB pdf Formation of Indentations or Sagging in the Mattress 1.pdf 0.13 MB pdf Issues with Mattress Expansion or Resilience 1.pdf 0.13 MB pdf Broken Parts Holes or Stains 1.pdf 0.13 MB pdf Other Defects 1.pdf 0.12 MB pdf Microfiber Pillows Duvets Bedding and Mattress Protectors 1.pdf 0.15 MB ​What currently labels look like? Reminder: These can't be shared with the customer! ​ Mattresses and Toppers pdf Product Label Example-Mattress.pdf 0.28 MB Covers pdf Product Label Example-Cover.pdf 0.23 MB Foam Pillows pdf Product Label Example-Foam Pillow.pdf 0.12 MB Microfiber products pdf Product Label Example-Microfiber.pdf 0.06 MB Beds and Slatted Frames pdf Product Label Example-Beds and slatter Frames.pdf 0.13 MB",https://sites.google.com/outscaler.com/outscalerknowledgebas/agent-operations/claims/product-claims,Tue Nov 18 14:13:17 UTC 2025
